Vmag,Plx,B-V,Abs Mag
9.05,1.27,0.976,2.172392558088086
8.45,1.31,0.248,2.3854574086884717
8.86,3.89,1.035,1.2761007973485847
7.84,3.98,0.923,1.6642338558526244
8.86,3.82,0.53,1.291873274176583
8.93,5.47,0.172,0.9520253473331385
7.97,9.02,0.556,0.9015869249161167
6.9,14.91,0.534,0.8930447130940109
8.47,2.8,1.171,1.7176839373155612
6.77,2.51,1.832,2.492652557037924
8.55,3.32,1.004,1.5377238325919271
5.04,6.4,-0.15,2.371640052032226
8.48,29.75,0.888,-0.33897394012913684
8.53,11.74,0.53,0.448663806176809
6.33,7.55,0.182,1.7121060967416235
8.99,6.69,0.5,0.7531477644643537
8.64,10.49,0.488,0.5024490236128841
9.55,2.49,0.237,1.387601305808527
8.74,10.47,0.57,0.46410663664231533
12.43,22.98,1.49,-1.694700048704533
8.16,3.31,1.032,1.6963440124485623
9.46,4.77,0.944,0.8589632419197718
5.7,26.53,0.315,0.8725255000353421
7.62,8.08,0.517,1.1371772784508276
8.95,0.98,1.677,2.4375478486150106
8.97,1.62,0.952,1.992969970914738
8.94,5.12,0.276,1.0054600780483387
7.24,4.07,0.074,1.8848111815495598
10.32,3.17,0.323,0.8698814755644971
8.24,10.06,0.474,0.6988040385601828
8.62,2.6,0.303,1.7220533040583643
9.18,2.16,0.981,1.6590924976981385
8.53,2.53,1.274,1.7817589576483646
8.54,8.84,0.384,0.691095469973854
8.56,9.32,0.436,0.6371681752920371
9.41,2.46,0.967,1.4541297857932416
5.87,1.57,1.073,3.260200695181532
7.2,-0.69,0.085,3.4423018185254897
9.05,7.65,0.47,0.6126771296927643
9.52,3.88,0.832,1.0143365488115856
10.24,6.18,0.318,0.3220230498223682
7.7,7.8,1.003,1.135810794619039
8.17,3.36,0.29,1.679321445220312
7.29,2.73,0.118,2.211674705918488
9.26,3.49,1.8,1.2103491460816405
7.94,3.21,0.016,1.8109899351902556
8.42,4.14,1.005,1.397999317758202
8.56,10.78,0.602,0.5107624782985603
7.52,6.27,0.18,1.3974649183385675
7.74,7.68,0.483,1.133277559936976
8.85,2.62,1.113,1.623397417360509
9.01,1.25,1.01,2.2021799739838874
7.17,21.58,0.617,0.46389711930621613
9.04,7.23,0.489,0.6657234054109388
10.3,0.63,0.254,2.281318901092836
9.86,8.72,0.442,0.1749670301348658
7.64,9.53,0.532,0.9858141987233473
8.27,2.16,0.128,2.0230924976981384
8.44,8.62,0.423,0.7529854683505747
9.58,4.59,0.5,0.8443746289254775
8.43,5.18,0.007,1.199340480509534
8.49,2.5,1.18,1.8081199826559249
9.64,2.91,0.31,1.2162140220281852
9.17,2.6,1.222,1.502053304058364
8.09,2.96,1.26,1.821416577882123
9.0,6.32,0.903,0.7985658434352298
6.25,16.16,0.526,1.0831172871228651
8.56,4.77,0.521,1.218963241919772
10.81,3.36,0.565,0.6233214452203117
8.76,2.37,1.01,1.7465033079797923
7.76,7.41,0.967,1.1563635840413435
7.82,4.11,1.041,1.6443163562478613
7.9,3.49,0.668,1.75434914608164
8.52,3.31,1.036,1.5523440124485626
9.73,18.29,0.99,-0.4164274109528339
9.19,6.08,0.346,0.7561928414545303
8.1,9.03,0.342,0.8486244993729887
8.75,13.24,0.552,0.2562240297926376
8.14,5.19,0.88,1.313665284303084
8.65,-0.53,1.349,3.0914482607984217
10.3,-0.95,1.082,1.9245527894223042
6.46,6.78,1.176,1.7535406122658728
6.73,5.96,0.051,1.7575074805195272
7.96,11.84,0.421,0.6692965952261979
9.53,4.73,0.461,0.8382777185243772
8.87,3.15,0.081,1.4553788924207993
6.59,6.28,1.122,1.7680807125256077
8.65,0.54,1.455,3.075212480354063
9.64,6.1,0.432,0.5733403299784656
9.15,8.21,0.424,0.5113136857611181
9.04,4.31,0.422,1.1150454596785373
12.04,32.93,1.473,-1.8511834614238154
8.42,3.69,1.174,1.4979472676818795
8.09,3.38,1.125,1.7061665994446904
9.06,1.06,1.688,2.3253882694704595
8.09,11.66,0.455,0.6306028991540096
8.18,0.24,1.462,3.967577516576788
8.77,3.82,1.125,1.3278732741765829
7.36,4.7,0.146,1.711804284128565
9.16,4.81,0.232,0.9717098472523364
8.82,1.39,0.979,2.18597039949181
11.14,1.86,0.041,1.004974111564167
6.24,0.93,0.332,3.56703410289213
9.44,5.68,0.439,0.7153033285779624
7.49,15.55,0.636,0.6205392132742873
6.96,15.84,0.353,0.8164896454930503
7.94,2.79,-0.023,1.9327915934528046
8.69,0.81,0.12,2.707029962242701
8.15,4.83,0.134,1.3721057384969755
8.45,2.88,1.655,1.7012150244815387
7.92,1.62,1.408,2.4129699709147383
7.45,4.99,0.353,1.6237989087532199
9.01,2.11,0.956,1.7474350894046147
8.55,1.38,1.212,2.3002418271975267
9.23,0.11,1.006,4.22521462968355
9.16,1.19,1.538,2.1849060772149387
7.9,5.49,1.071,1.360855311099816
8.68,3.48,1.011,1.4448415121068383
7.78,15.26,0.563,0.5208909327622763
8.21,1.46,-0.123,2.3872942884311255
8.11,2.92,-0.019,1.8252342971031639
8.29,13.14,0.488,0.4468092695524767
7.89,8.63,0.401,0.9719784085695811
9.67,2.83,0.397,1.2284271289514195
8.24,25.29,0.78,-0.10189765868880976
6.8,6.42,0.06,1.6649299438622933
8.18,2.81,1.015,1.8305873601898406
8.44,9.67,0.508,0.6531470518339969
4.55,14.31,-0.047,1.8687207324804471
7.45,6.04,0.244,1.4579261227577363
6.31,3.31,1.629,2.4363440124485627
8.15,5.15,0.316,1.3163855419176176
8.27,6.16,0.136,1.1128385756711492
7.66,20.44,0.741,0.31503821707464963
